Volta -1
Posicao(0): 122.67, -14.93, 147.23	Tempo: 444.089 segundos
Posicao(1): 123.56, -14.43, 173.04	Tempo: 1.068 segundos
Posicao(2): 126.55, -14.30, 196.18	Tempo: 0.899 segundos
Posicao(3): 133.65, -14.34, 216.37	Tempo: 0.989 segundos
Posicao(4): 146.27, -14.12, 232.12	Tempo: 0.982 segundos
Posicao(5): 153.72, -14.10, 268.98	Tempo: 1.874 segundos
Posicao(6): 132.88, -14.27, 287.84	Tempo: 1.397 segundos
Posicao(7): 95.97, -14.71, 275.30	Tempo: 1.905 segundos
Posicao(8): 80.70, -15.10, 257.76	Tempo: 1.059 segundos
Posicao(9): 71.46, -15.31, 226.53	Tempo: 1.597 segundos
Posicao(10): 84.26, -14.92, 198.26	Tempo: 1.578 segundos
Posicao(11): 86.21, -14.40, 178.64	Tempo: 0.998 segundos
Posicao(12): 70.93, -14.32, 163.37	Tempo: 1.121 segundos
Posicao(13): 49.43, -14.70, 166.54	Tempo: 1.113 segundos
Posicao(14): 31.47, -15.24, 190.32	Tempo: 1.472 segundos
Posicao(15): 27.52, -15.55, 240.20	Tempo: 1.96 segundos
Posicao(16): 25.77, -15.70, 259.78	Tempo: 0.622 segundos
Posicao(17): 9.29, -14.11, 291.27	Tempo: 1.566 segundos
Posicao(18): -5.63, -14.21, 293.64	Tempo: 0.751 segundos
Posicao(19): -16.24, -14.58, 289.13	Tempo: 0.572 segundos
Posicao(20): -28.69, -15.18, 273.97	Tempo: 0.902 segundos
Posicao(21): -54.24, -15.63, 183.19	Tempo: 3.747 segundos
Posicao(22): -55.32, -15.60, 170.34	Tempo: 0.778 segundos
Posicao(23): -52.80, -15.59, 153.50	Tempo: 1.027 segundos
Posicao(24): -47.70, -15.56, 132.96	Tempo: 1.268 segundos
Posicao(25): -124.37, -15.51, -44.04	Tempo: 6.345 segundos
Posicao(26): -130.04, -15.53, -58.55	Tempo: 0.507 segundos
Posicao(27): -136.19, -15.48, -87.94	Tempo: 1.149 segundos
Posicao(28): -124.91, -15.24, -127.32	Tempo: 1.684 segundos
Posicao(29): -109.74, -15.35, -144.87	Tempo: 0.956 segundos
Posicao(30): -77.10, -15.52, -167.52	Tempo: 1.238 segundos
Posicao(31): -31.08, -15.54, -183.73	Tempo: 1.313 segundos
Posicao(32): -6.57, -15.68, -186.30	Tempo: 0.772 segundos
Posicao(33): 9.43, -15.68, -183.86	Tempo: 0.629 segundos
Posicao(34): 22.89, -15.64, -177.84	Tempo: 0.654 segundos
Posicao(35): 49.22, -15.40, -181.91	Tempo: 1.591 segundos
Posicao(36): 49.13, -15.76, -207.70	Tempo: 1.611 segundos
Posicao(37): 54.84, -15.19, -238.87	Tempo: 1.634 segundos
Posicao(38): 77.06, -14.57, -261.00	Tempo: 1.202 segundos
Posicao(39): 99.32, -14.61, -279.80	Tempo: 0.972 segundos
Posicao(40): 128.67, -13.55, -290.84	Tempo: 1.512 segundos
Posicao(41): 144.38, -13.47, -281.76	Tempo: 1.028 segundos
Posicao(42): 151.06, -14.26, -268.57	Tempo: 0.808 segundos
Posicao(43): 151.29, -15.30, -246.34	Tempo: 1.1 segundos
Posicao(44): 158.03, -14.68, -196.74	Tempo: 2.434 segundos
Posicao(45): 164.08, -14.33, -184.10	Tempo: 0.72 segundos
Posicao(46): 162.52, -14.02, -160.08	Tempo: 1.334 segundos
Posicao(47): 135.80, -14.27, -132.11	Tempo: 1.495 segundos
Posicao(48): 115.79, -14.99, -102.32	Tempo: 1.233 segundos
Posicao(49): 110.91, -15.24, 36.94	Tempo: 4.852 segundos
Tempo da volta: 514.107 segundos

